HD-No	work status	province	country	findspot ancient	findspot modern	findspot (village, street, etc.)	year	literature	transcription	tribunicia potestas number	godot URI
HD000102	provisional	Britannia	United Kingdom	Vindolanda	Chesterholm	Kastell	146 AD	AE 1983, 0639. (B)  M.W.C. Hassall - R.S.O. Tomlin, Britannia 14, 1983, 347-348, Nr. 40. (B) - AE 1983.  RMD 097; pl. 4a-c. (B)  PIR (2. Aufl.) C 1027.  AE 1985, 0640.  M.M. Roxan, The Roman Fort of Vindolanda at Chesterholm, Northumberland (Chesterholm 1980) 93-102. - AE 1985.  PIR (2. Aufl.) E 96.  RIB 2401, 9.	[Imp(erator) Caesar divi Hadriani f(ilius) divi Traiani] / [Parth(ici) n(epos) divi Nervae pron(epos)] T(itus) Ae[lius] / [Hadrianus Antonin]us Aug(ustus) Pius p(ontifex) m(aximus) / [tr(ibunicia) pot(estate) VIIII imp(erator) II] co(n)s(ul) IIII p(ater) p(atriae) / [eq(uitibus) et ped(itibus) q(ui) m(ilitaverunt) in alis ---] et coh(ortibus) VIII et su[nt] / [in Britannia sub Papirio Aeliano? quinque et viginti] / [stipend(iis) emerit(is) dimis(sis) honest(a) mission(e)] / [quor(um) nomin(a) subscript(a) sunt civit(atem) Roman(am)] // [qui eor(um)] non ha[ber(ent) dedit et conub(ium) cum] / [uxor(ibus)] quas tun[c habuis(sent) cum est civit(as)] / [is d]ata aut cum [is quas postea duxis(sent)] / [du]mtaxat sing[ulis ---] / [Sex(to)] Eruc[io Claro II] / [Cn(aeo)] Claud[io Severo Arabiano co(n)s(ulibus)] / [co]h(ortis) I Tun[gror(um)? M(miliariae) cui prae(e)st] / [---] Paterniu[s ---] / [ex ---] / [---]MANDIO[---] / [desc]ript(um) et [recognit(um) ex tabul(a) aer]/[ea q]uae fi[xa est Romae in muro] / [post templ(um) divi Aug(usti) ad Minervam]	9	https://godot.date/id/sgiwcMg9edzvwvJfjQexzm
HD000477	checked with photo	Noricum	Italy	Sebatum, bei	Kiens / Chienes	{Ehrenburg / Casteldarne}, Hinterbichl	201 AD	AE 1982, 0729.  C.M. Mayr, NSA 1928, 129-132; fig. 2. - AE 1982.  G. Winkler, Die römischen Straßen und Meilensteine in Noricum - Österreich (Aalen 1985) 48-49, Nr. 6a.  E. Boehringer, AA 1928, 124-125; Abb. 4.  CIL 17, 04, 00174; Fig. α; Fig. β (Zeichnung).  ILLPRON 1569.  PIR (2. Aufl.) I 889.	Imp(erator) Caes(ar) L(ucius) Septimius / Severus Pius Pertinax / Aug(ustus) Arab(icus) A(d)iab(enicus) Parth(icus) max(imus) / pontif(ex) max(imus) trib(unicia) pot(estate) VIIII / imp(erator) XII co(n)s(ul) II p(ater) p(atriae) proco(n)s(ul) et / Imp(erator) Caes(ar) M(arcus) Aurelius Antoni/(n)us Pius Aug(ustus) trib(unicia) pot(estate) IIII pro/co(n)s(ul) et P(ublius) Se[[[ptim]ius]] [[[Geta]]] / miliaria vetustate collaps(a) / resti(t)uerunt cura(m) agente / M(arco) Iuventio Suro Proclo / leg(ato) pr(o) pr(aetore) ab Ag(unto) m(ilia) p(assuum) / LXVII	9	https://godot.date/id/B3MaxYmzDKtcgNgYtEp8Qk
HD000478	provisional	Hispania citerior	Portugal	Aquae Flaviae	Chaves	Rio Tâmega, Flußbett	79 AD	AE 1983, 0586.  A. Coelho - F. da Silva, Portugalia 2/3, 1981/82, 90-92, Nr. 2; est. 4,3 u. 4,4. - AE.  CIL 02, 02477.  CIL 02, 05616.  AE 1994, 0939.	Imp(eratori) Caes(ari) Ve[sp(asiano) Aug(usto) pont(ifici)] / max(imo) trib(unicia) pot(estate) [X imp(eratori) XX p(atri) p(atriae) co(n)s(uli) IX] / Imp(eratori) Vesp(asiano) Caes(ari) Au[g(usti) f(ilio) pont(ifici) trib(unicia) pot(estate)] / VIII imp(eratori) XIIII co(n)[s(uli) VII?] / [[[Imp(eratori)? Domitiano? Caes(ari)? Aug(usti)? f(ilio)? ---]]] / [[[------]]] / G(aio) Calpetano Ra[ntio Quirinali] / Val(erio) Festo leg(ato) A[ug(usti) pr(o) pr(aetore)] / D(ecimo) Cornelio Ma[eciano leg(ato) Aug(usti)] / L(ucio) Arruntio Max[imo proc(uratori) Aug(usti)] / leg(ionis) VII gem(inae) [fel(icis)] / civitates [X] / Aquiflavien[ses Aobrigenses] / Bibali Coel[erni Equaesi] / Interamic[i Limici Aebisoci?]/ Quarque[r]ni Ta[magani]	10	https://godot.date/id/WbFCQ7e2jgvCawNkp22ixQ
HD000678	provisional	Pannonia superior	Austria	Carnuntum	Petronell-Carnuntum		114 AD	AE 1982, 0771. (AB)  H. Ubl, AustrRom 31, 1981, 16-17. (B) - AE 1982.  RMD 087.	$]RON[---] / [--- e]t I Alpinor(um) et [I Lusitanor(um) et II Aug(usta) Nervia Pacen]/[si]s M(miliaria) Britton(um) et I[II Lusitanor(um) et sunt in Panno]/[nia] inferiore sub [P(ublio) Afranio Flaviano item ala] / [I Fl]avia Aug(usta) Brit[annic(a) M(miliaria) c(ivium) R(omanorum) missa in expedi]/[tionem q]uinis et vicen[is pluribusve stipendis] / [emeritis] dimissis ho[nesta missione & // [Imp(erator) Caesar divi Nervae f(ilius) Nerva Traianus Optimus Aug(ustus) Germ(anicus)] / [Dacic(us) pontif(ex) max(imus) tribunic(ia) potestat(e) XVIII imp(erator) VII] co(n)s(ul) V[I p(ater) p(atriae)] / [equit(ibus) et p]ed(itibus) qui m[ilitaverunt in alis duabus et cohortibus sex quae appellantur I] / [Flavia Gaetulor(um)] et Fron(toniana) et [I Alpinor(um) et I Montanor(um) &	18	https://godot.date/id/jYzj9AjfLuYk2CDzkP8oW9
HD000703	provisional	Pannonia inferior	Hungary		Alsószentiván		159 AD	AE 1983, 0787a.  Z. Visy, SzekBalAdMuz 10/11, 1979/80, 71-75, Nr. 5; Abb. 30 u. 31; Abb. 32 u. 33 (Zeichnung). - AE 1983.  CIL 16, 00112. (B)	$] / [XXV plu]rib(us)ve stip(endiis) em[er(itis) dim(issis) ho]/nest(a) miss(ione) quor(um) nom(ina) subscript(a) / sunt civit(atem) Roman(am) qui eor(um) non / haber(ent) ded(it) et conub(ium) cum uxorib(us) / quas tunc habuis(sent) cum est civit(as) is / dat(a) aut cum is quas post(ea) duxis(sent) du/mtaxat singulis a(nte) d(iem) VI K(alendas) Ian(uarias) / Q(uinto) Pomponio Musa L(ucio) Cassio Iuvenale co(n)s(ulibus) / coh(ortis) I Alpinor(um) equit(atae) cui prae(e)st / Titius Modestus / ex equite / Ulpio Bitumari f(ilio) Biuasconi Eravisc(o) / descript(um) et recognit(um) ex tabu(la) aer(ea) / quae fixa est Rom(ae) in mur(o) post / templ(um) divi Aug(usti) ad Minervam // [Imp(erator) Caes(ar) divi Hadria]ni f(ilius) divi Traiani / [Par(thici) nep(os) divi Nervae p]ronep(os) T(itus) Aelius Ha/[drianus Antoninu]s Aug(ustus) Pius pont(ifex) / [max(imus) trib(unicia) pot(estate) XXII i]mp(erator) II co(n)s(ul) IV p(ater) p(atriae) / [equitibus et ped]it(ibus) q(ui) n(ilitaverunt)(!) in al(is) V quae app(ellantur) / [I Fl(avia) Britan(nica) M(miliaria) c(ivium) R(omanorum) et] I Thr(acum) vet(erana) sagit(tariorum) et I Aug(usta) / [Itur(aeorum) sagit(tariorum) et I c(ivium) R(omanorum) et] I Brit(tonum) c(ivium) R(omanorum) et coh(ortibus) XIII / [I Nor(icorum) et III Lusit(anorum) et] II Ast(urum) et Call(aecorum) et VII / [Breuc(orum) et II Aug(usta) Thr(acum) et] I Lusit(anorum) et I Mont(anorum) et I / [Camp(anorum) vol(untariorum) c(ivium) R(omanorum) et I Thr(acum) c(ivium)] Ro(manorum) et I Alp(inorum) equat(ata)(!) et / [III Batavor(um) et I Th]r(acum) Germ(anica) et I Alp(inorum) ped(itata) / [et sunt in Pann(onia) inf(eriore) s]ub Geminn(io)(!) <C=I>apellia/[no#<C>apellia/[no#IAPELLIA leg(ato) XXV plurib(us)ve sti]p(endiis) emer(itis) dim(issis) hon(esta) mis(sione) / [quor(um) nomin(a) subscri]p(ta) sunt civi(tatem) Rom(anam) / [&	22	https://godot.date/id/MZabHR2LvQazPJskh8xs6a
HD000885	provisional	Pannonia superior	Hungary	Brigetio	Komárom	Szőny, Lager, Südwestecke, bei	163 AD	AE 1982, 0795.  B. Lőrincz, AErt 107, 1980, 81-85. - AE 1982.  RMD 062.  AE 1960, 0021. (B)  L. Barkóczi, AArchHung 9, 1959, 413-421; fig. 1 u. 2. (B) - AE 1960.	[Imp(erator) Caes(ar) M(arcus) Au]relius Antoninus Aug(ustus) / [pont(ifex) max(imus) trib(unicia) po]t(estate) XVII imp(erator) II co(n)s(ul) III et / [Imp(erator) Caes(ar) L(ucius) Aure]lius Verus Aug(ustus) Armenia/[cus trib(unicia) pot(estate) III im]p(erator) II proco(n)s(ul) co(n)s(ul) II / [divi Antonini f(ilii) d]ivi Hadriani ne/[potes divi Traian]i Parthici prone/[potes divi N]ervae abnepotes / [equitibus et pediti]bus qui militaverunt / [in alis IV qu]ae appellantur I Thrac(um) / [victr(ix) et I Cannane]f(atium) c(ivium) R(omanorum) et I Hisp(anorum) Arvacor(um) / [et III Aug(usta) Thr(acum) et c]ohortibus septem IIII / [et XIIX vol]unt(ariorum) c(ivium) R(omanorum) [et I Ulp(ia) P]annon(iorum) / [& // $] / et I Ulp(ia) Panno[n(iorum) et V Callaec(orum) Lucens(ium) et I Thrac(um) c(ivium) R(omanorum)] / et II Alpinor(um) e[t I Aelia M(miliaria) sag(ittariorum) et sunt in Pan]/nonia super[iore sub Dasumio Tusco leg(ato)] / quinque et v[iginti stipendiis emeritis] / dimissis h[onesta missione quorum] / nomina sub[scripta sunt civitatem Ro]/manam qui e[orum non haberent dederunt] / et conubium [cum uxoribus quas tunc habu]/issent cum e[st civitas is data aut cum is quas] / postea duxiss[ent dumtaxat singulis]	17	https://godot.date/id/rq8bBcC695fAKQWpGj2eWV
HD000943	checked with photo	Moesia superior	Macedonia	Scupi	Skopje	Festung Kale	197 AD	AE 1983, 0872.  W. Eck, ZPE 51, 1983, 291-294. - AE 1983.  IMS 6, 025; Foto. - AE 1983.	[Imp(erator) Caes(ar) L(ucius) Septimius Severus Pius] / [Pertinax Aug(ustus) pont(ifex) m]ax(imus) tr(ibunicia) po[t(estate) V imp(erator) VIII? co(n)s(ul) II p(ater) p(atriae) et] / [M(arcus) Aurelius Antoninus] Caes(ar) imp(erator) [destin(atus) ---] / [---]ALIMEN[---] / [restituerunt? per C(aium) Ga]binium B[arbarum] / [Pompeianum legatum Augusti] pr(o) [pr(aetore) &	5	https://godot.date/id/Wc9oG8va8y5w9SwRtxnHhE
HD000984	checked with photo	Pannonia inferior	Hungary		Rácalmás	Bahnhof, nördlich	198 AD	AE 1982, 0811.  J. Fitz, AErt 83, 1956, 197-206; Zeichnung. (B) - AE 1957.  J. Fitz, Das Jahrhundert der Pannonier (193-284) (Budapest 1982) 79, Foto 3. (B) - AE 1982.  AE 1957, 0021.  AE 1969/70, 0528. (B)  J. Fitz, Alba Regia 8/9, 1967/68, 205-207, Nr. 34; Abb. 21 (Zeichnung). (B) - AE 1969/70.  PIR (2. Aufl.) C 834.	Imp(eratori) Caes(ari) L(ucio) Septim(io) / Severo P(io) Pertinaci Aug(usto) / Arabico Adiab(enico) Part(h)i(co) maxi(mo) / divi M(arci) Aurel(i) divi Commodi / fratri divi Antonini Pii nep(oti) / divi Hadriani pronep(oti) / divi Traiani Parthici abnep(oti) / divi Nervae adnep(oti) imp(eratori) XI / trib(unicia) potes(tate) VI co(n)s(uli) II proco(n)s(uli) / Imp(eratori) M(arco) Aurel(io) Antonino Aug(usto) / L(uci) Sep(timi) Severo(!) P(ii) Pertenaci(s)(!) Aug(usti) / n(ostri) filio divi Antonini nepot(i) / divi Antonini Pii pronep(oti) / divi Hadriani abnep(oti) / divi Traiani Parthici et / divi Nervae adnep(oti) et / [[P(ublio) Sept(imio) Getae Caes(ari)]] / [[Aug(usti) n(ostri) filio]] curante / Ti(berio) Cl(audio) Claudi{di}ano leg(ato) Augg(ustorum) pr(o) pr(aetore) / ab Aq(uinco) m(ilia) p(assuum) / XLIII	6	https://godot.date/id/K2My2Ba6cFWwvePKDC5bo9
HD001114	checked with photo	Alpes Poeninae	Switzerland		Yvorne	{Versvey}, Kiesgrube	47 AD	AE 1982, 0673. (B)  G. Walser, Historia 29, 1980, 438-462; Foto u. Zeichnung. - AE 1982.	Ti(berius) Claudius Drusi f(ilius) / Caesar [Aug(ustus)] Germ(anicus) / pontif(ex) max(imus) trib(unicia) pot(estate) VII / imp(erator) XII p(ater) p(atriae) co(n)s(ul) IIII / F(oro) C(laudi) A(ugusti) / XXI	7	https://godot.date/id/4W6qMfrYda8JGhHP5aS5aM
HD001146	provisional	Dacia	Romania				121 AD	AE 1982, 0824.  W. Eck, ZPE 42, 1981, 234-235. - AE 1982.  AE 1950, 0078. (B)  D. Tudor, Dacia 11/12, 1945-1947, 273-274; Zeichnung. (B) - AE 1950.  IDR 1, 027.  PIR (2. Aufl.) A 1092.	[Imp(erator) Caesar divi Traiani Parthici f(ilius) divi] / [Nervae nepos Traianus Hadrianus Aug(ustus)] / [pont(ifex) max(imus) trib(unicia) pot(estate) V co(n)s(ul) III] / [& // civit(atem) dedit [et conub(ium) cum uxorib(us) quas tunc] / habuiss(ent) cum [est civit(as) iis dat(a) aut siqui caelib(es)] / essent cum ii[s quas postea duxiss(ent) dumtaxat] / singuli sin(gulas) [a(nte) d(iem) ---] / Cn(aeo) Arrio Au[gure --- co(n)s(ulibus)] / gr[egali] / Iunio Iun[iano & // $] / L(uci) Pulli [Anthi?] / Ti(beri) Claudi [Erotis?] / P(ubli) Atini [Crescentis?]	5	https://godot.date/id/avVCFmfQmGapo9u5bmAdr6
