RIC I (second edition) Augustus 131	http://numismatics.org/ocre/id/ric.1(2).aug.131	-18	-17	S P Q R IMP CAESARI AVG COS XI TR POT VI	CIVIB ET SIGN MILIT A PART RECVP	Augustus	6	https://godot.date/id/bkUgtjm5B7tFeRqbmuEo5A
RIC I (second edition) Augustus 132	http://numismatics.org/ocre/id/ric.1(2).aug.132	-18	-17	S P Q R IMP CAESARI AVG COS XI TR POT VI	CIVIB ET SIGN MILIT A PART RECVP	Augustus	6	https://godot.date/id/bkUgtjm5B7tFeRqbmuEo5A
RIC I (second edition) Augustus 133	http://numismatics.org/ocre/id/ric.1(2).aug.133	-18	-17	S P Q R IMP CAESARI AVG COS XI TR POT VI	CIVIB ET SIGN MILIT A PART RECVPER	Augustus	6	https://godot.date/id/bkUgtjm5B7tFeRqbmuEo5A
RIC I (second edition) Augustus 134A	http://numismatics.org/ocre/id/ric.1(2).aug.134A	-18	-17	S P Q R IMP CAESARI AVG COS XI TR POT VI	CIVIB ET SIGN MILIT A PART RECVPER	Augustus	6	https://godot.date/id/bkUgtjm5B7tFeRqbmuEo5A
RIC I (second edition) Augustus 134B	http://numismatics.org/ocre/id/ric.1(2).aug.134B	-18	-17	S P Q R IMP CAESARI AVG COS XI TR POT VI	CIVIB ET SIGN MILIT A PART RECVPER	Augustus	6	https://godot.date/id/bkUgtjm5B7tFeRqbmuEo5A
RIC I (second edition) Augustus 136	http://numismatics.org/ocre/id/ric.1(2).aug.136	-18	-17	S P Q R IMP CAESARI AVG COS XI TR POT VI	CIVIB ET SIGN MILIT A PART RECVP	Augustus	6	https://godot.date/id/bkUgtjm5B7tFeRqbmuEo5A
RIC I (second edition) Augustus 360	http://numismatics.org/ocre/id/ric.1(2).aug.360	-17	-16	AVGVSTVS TR POT VII	L VINICIVS L F IIIVIR	Augustus	7	https://godot.date/id/8M9VewiHLMsiyTZKbWFfEn
RIC I (second edition) Augustus 350	http://numismatics.org/ocre/id/ric.1(2).aug.350	-16	-15	IMP CAESAR TR POT IIX	L MESCINIVS AVG SVF P	Augustus	8	https://godot.date/id/pkKsA5oCqcKzNo5MKWKUbT
RIC I (second edition) Augustus 361	http://numismatics.org/ocre/id/ric.1(2).aug.361	-16	-15	AVGVSTVS TR POT VIII	L VINICIVS L F IIIVIR	Augustus	8	https://godot.date/id/pkKsA5oCqcKzNo5MKWKUbT
RIC I (second edition) Augustus 363	http://numismatics.org/ocre/id/ric.1(2).aug.363	-16	-15	IMP CAESAR AVGVS TR POT VIII	C ANTIST VETVS FOR DVS P R QVM GABINIS	Augustus	8	https://godot.date/id/pkKsA5oCqcKzNo5MKWKUbT
RIC I (second edition) Augustus 364	http://numismatics.org/ocre/id/ric.1(2).aug.364	-16	-15	IMP CAESAR AVGVS TR POT VIII	C ANTIST VETVS FOED P R CVM GABINIS	Augustus	8	https://godot.date/id/pkKsA5oCqcKzNo5MKWKUbT
RIC I (second edition) Augustus 365	http://numismatics.org/ocre/id/ric.1(2).aug.365	-16	-15	IMP CAESAR AVGVS TR POT IIX	C ANTIST VETVS IIIVIR APOLLINI ACTIO	Augustus	8	https://godot.date/id/pkKsA5oCqcKzNo5MKWKUbT
RIC I (second edition) Augustus 366	http://numismatics.org/ocre/id/ric.1(2).aug.366	-16	-15	IMP CAESAR AVGVS TR POT IIX	C ANTISTI VETVS IIIVIR APOLLINI ACTIO	Augustus	8	https://godot.date/id/pkKsA5oCqcKzNo5MKWKUbT
RIC I (second edition) Tiberius 1	http://numismatics.org/ocre/id/ric.1(2).tib.1	14	15	TI CAESAR DIVI AVG F AVGVSTVS	TR POT XVI IMP VII	Tiberius	16	https://godot.date/id/NPsHEjAL7uzWnhXw5nTs86
RIC I (second edition) Tiberius 2	http://numismatics.org/ocre/id/ric.1(2).tib.2	14	15	TI CAESAR DIVI AVG F AVGVSTVS	TR POT XVI IMP VII	Tiberius	16	https://godot.date/id/NPsHEjAL7uzWnhXw5nTs86
RIC I (second edition) Tiberius 3	http://numismatics.org/ocre/id/ric.1(2).tib.3	15	16	TI CAESAR DIVI AVG F AVGVSTVS	TR POT XVII IMP VII	Tiberius	17	https://godot.date/id/cfqmv83BDDHQuCNLnSzoY6
RIC I (second edition) Tiberius 4	http://numismatics.org/ocre/id/ric.1(2).tib.4	15	16	TI CAESAR DIVI AVG F AVGVSTVS	TR POT XVII IMP VII	Tiberius	17	https://godot.date/id/cfqmv83BDDHQuCNLnSzoY6
RIC I (second edition) Tiberius 42	http://numismatics.org/ocre/id/ric.1(2).tib.42	22	23	DRVSVS CAESAR TI AVG F DIVI AVG N PONT TR POT II		Tiberius	2	https://godot.date/id/6zMcPy6oxQTzCwhWwXssYo
RIC I (second edition) Tiberius 46	http://numismatics.org/ocre/id/ric.1(2).tib.46	22	23	IVSTITIA	TI CAESAR DIVI AVG F AVGVST P M TR POT XXIIII round S C	Tiberius	24	https://godot.date/id/Lg4SZVBWWeXeDaWRswGud4
RIC I (second edition) Tiberius 52	http://numismatics.org/ocre/id/ric.1(2).tib.52	34	35	TI CAESAR DIVI AVG F AVGVST IMP VIII	PONTIF MAX TR POT XXXVI S C	Tiberius	36	https://godot.date/id/NUNewZZ2negKa9TcBCrjSf
RIC I (second edition) Tiberius 53	http://numismatics.org/ocre/id/ric.1(2).tib.53	34	35	TI CAESAR DIVI AVG F AVGVST IMP VIII	PONTIF MAX TR POT XXXVI S C	Tiberius	36	https://godot.date/id/NUNewZZ2negKa9TcBCrjSf
RIC I (second edition) Tiberius 54	http://numismatics.org/ocre/id/ric.1(2).tib.54	34	35	TI CAESAR DIVI AVG F AVGVST P M TR POT XXXVI		Tiberius	36	https://godot.date/id/NUNewZZ2negKa9TcBCrjSf
